id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
138f4118-a314-4096-a3b4-373b76c74fb6,Samabi0006,Pearl,Competitive,Fade,Iniciador,21,6,19,11,"['SirZahir', 'HardStuck Gold', 'Vixie', 'TeamParti']",Diamond,1.0,"['Chamber', 'Jett', 'Miks', 'Phoenix', 'Fade']",214.385,2,2,0,12,14,,
de11c9bc-1a36-4dd1-b5b6-0ccfb30adafc,Samabi0006,Breeze,Competitive,Fade,Iniciador,2,5,18,4,"['Agutín', 'Postal', 'Adrigs24', 'sous4']",Diamond,1.0,"['Jett', 'Clove', 'Fade', 'Viper', 'Chamber']",76.105,0,2,0,6,13,,
1eeec37e-013d-4ae7-a76d-3e959e65c567,Samabi0006,Haven,Competitive,Chamber,Centinela,16,1,16,8,"['Prook', 'Mario Netaa', 'snag', 'Mosquito Man']",Diamond,1.0,"['Chamber', 'Jett', 'Sage', 'Omen', 'Phoenix']",199.318,3,0,0,9,13,,
49b7a87b-bbfb-4c4e-a295-cc3a7d407738,Samabi0006,Pearl,Competitive,Neon,Duelista,16,1,16,5,"['Nihilist', 'bl3ssed', 'GUPITINHO', 'Larry Capisa']",Diamond,1.0,"['Iso', 'Waylay', 'Clove', 'Neon', 'Phoenix']",190.227,0,0,1,13,9,,
8f845a7b-08bd-432a-86a8-6cfd8e7668e0,Samabi0006,Breeze,Competitive,Omen,Controlador,15,3,6,7,"['reze', 'Genius17', 'DonTrabuco', 'errptoomanuee']",Diamond,1.0,"['Sage', 'Jett', 'Sova', 'Chamber', 'Omen']",213.647,1,0,1,13,4,1781302111.0,"Friday, June 12, 2026 10:08 PM"
d71473c0-58df-4201-aa97-2a8a61e82677,Samabi0006,Ascent,Competitive,Killjoy,Centinela,18,4,15,11,"['ikersitoo06', 'taij3', 'NIBABA', 'DEMO365']",Diamond,1.0,"['Omen', 'Jett', 'Sova', 'Reyna', 'Killjoy']",200.652,3,0,1,13,10,1781473612.0,"Sunday, June 14, 2026 09:46 PM"
30c9a2ab-adcd-4475-93c3-459aa871fc68,Samabi0006,Fracture,Competitive,Breach,Iniciador,7,4,6,5,"['taij3', 'DEMO365', 'ikersitoo06', 'NIBABA']",Diamond,1.0,"['Jett', 'Chamber', 'Breach', 'Brimstone', 'Tejo']",131.8,0,1,2,10,2,1781472104.0,"Sunday, June 14, 2026 09:21 PM"
57745ea5-34ac-4d3e-9562-3828b66dd621,Samabi0006,Breeze,Competitive,Omen,Controlador,15,8,17,12,"['amantedegitanas', 'LOKI22', 'GabrielRufian', 'I miss her 愛']",Diamond,1.0,"['Jett', 'Omen', 'Vyse', 'Reyna', 'Sova']",232.095,4,2,0,8,13,1781468912.0,"Sunday, June 14, 2026 08:28 PM"
e60f8608-8b4d-4bae-9164-214c9b02abbd,Samabi0006,Haven,Competitive,Miks,Controlador,10,2,18,7,"['I miss her 愛', 'paellarumana123', 'chinit0', 'shippy']",Diamond,1.0,"['Sova', 'Jett', 'Chamber', 'Breach', 'Miks']",131.455,0,1,0,9,13,1781560119.0,"Monday, June 15, 2026 09:48 PM"
1496ae94-62d8-42d1-8e8a-636d70e67a4b,Samabi0006,Split,Competitive,Chamber,Centinela,17,8,18,10,"['I miss her 愛', 'BOTxGarci', 'Jaiking111', 'ALLER']",Diamond,1.0,"['Skye', 'Raze', 'Chamber', 'Brimstone', 'Jett']",202.423,2,4,1,14,12,1781557472.0,"Monday, June 15, 2026 09:04 PM"
59aadead-6851-4468-8fb3-fb26eaad9e23,Samabi0006,Ascent,Competitive,Killjoy,Centinela,16,5,21,16,"['Storms', 'Chapapote', 'OneTwo', '船橋十九']",Diamond,1.0,"['Killjoy', 'Omen', 'Jett', 'Iso', 'KAY/O']",165.857,2,4,1,15,13,1781576195.0,"Tuesday, June 16, 2026 02:16 AM"
0365d650-bbcc-4472-b614-d381818865ae,Samabi0006,Pearl,Competitive,Chamber,Centinela,6,2,11,6,"['sfscaco', 'Lopezx', 'DROLO', 'TheHonoredOne']",Diamond,1.0,"['Reyna', 'Chamber', 'Fade', 'Omen', 'Phoenix']",117.812,0,1,0,3,11,1781641848.0,"Tuesday, June 16, 2026 08:30 PM"
3ed790a3-2b3d-4d92-b9c5-6646964030f7,Samabi0006,Pearl,Competitive,Chamber,Centinela,18,2,14,7,"['Rankwood87', 'Chinaski', 'ElSacaComunistaS', 'ElSacaMoroS']",Diamond,1.0,"['Fade', 'Jett', 'Neon', 'Clove', 'Chamber']",236.25,5,1,0,7,13,1781637400.0,"Tuesday, June 16, 2026 07:16 PM"
16b6b630-86c5-432a-9fce-22aa9b9eb158,Samabi0006,Lotus,Competitive,Chamber,Centinela,18,4,10,9,"['Keko Kainómano', 'desquiciada', 'STT SparTaTam', 'ederagurtza']",Diamond,1.0,"['Omen', 'Raze', 'Reyna', 'Skye', 'Chamber']",268.421,2,2,1,13,6,1781662624.0,"Wednesday, June 17, 2026 02:17 AM"
cfc93ffe-9eb6-4357-92ef-439bca8778fd,Samabi0006,Fracture,Competitive,Breach,Iniciador,12,9,15,9,"['JBW', 'suvzla', 'WhazzY', 'TheGodUsopp']",Diamond,1.0,"['Chamber', 'Killjoy', 'Waylay', 'Omen', 'Breach']",171.174,3,0,0,10,13,1781728181.0,"Wednesday, June 17, 2026 08:29 PM"
6eb64baa-6e2a-42fc-8381-d2ad3b3ce60a,Samabi0006,Breeze,Competitive,Neon,Duelista,19,4,19,11,"['romario', 'croqueta', 'MiLady', 'El Gring0']",Diamond,1.0,"['Sova', 'Skye', 'Astra', 'Neon', 'Chamber']",246.0,3,2,0,11,13,1781826777.0,"Thursday, June 18, 2026 11:52 PM"
09d2d30a-6c95-41ad-a0af-96d7037e20a0,Samabi0006,Breeze,Competitive,Omen,Controlador,10,5,12,9,"['Natsukashi yoru夜', 'Kacchan', 'Komasan', 'LANGOS']",Diamond,1.0,"['Jett', 'Phoenix', 'Sova', 'Chamber', 'Omen']",170.235,0,3,1,13,4,1781824863.0,"Thursday, June 18, 2026 11:21 PM"
2be8394d-3508-4f62-a7ab-120a47e02bc3,Samabi0006,Split,Competitive,Chamber,Centinela,13,6,18,9,"['Ghostemane', 'ja1seRツ', 'Chupapi muñaño', 'Monkey D Luffy']",Diamond,1.0,"['Skye', 'Phoenix', 'Jett', 'Chamber', 'Omen']",177.292,1,4,1,13,11,1781835492.0,"Friday, June 19, 2026 02:18 AM"
7540ccf6-f084-40bd-bad9-35c5b6c83ce5,Samabi0006,Split,Competitive,Chamber,Centinela,21,3,18,12,"['Desida ぶ', 'EL ECONOMISTA', 'BLON', 'HZINN']",Diamond,1.0,"['Jett', 'KAY/O', 'Miks', 'Chamber', 'Sage']",299.6,1,1,0,7,13,1781906441.0,"Friday, June 19, 2026 10:00 PM"
82fb5905-7b40-4cb4-bef7-cf8f0004d055,Samabi0006,Fracture,Competitive,Chamber,Centinela,21,8,13,9,"['FP de jardineria', 'Hachi', 'Medusin Medusa', 'solomeopuertas']",Diamond,1.0,"['Breach', 'Yoru', 'Miks', 'Neon', 'Chamber']",272.913,5,0,1,13,10,1781895835.0,"Friday, June 19, 2026 07:03 PM"
