id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
ab8fb01d-d149-400e-bcb7-b2e25c8ee7fd,Thu malagueño,Ascent,Competitive,Tejo,Iniciador,16,8,13,8,"['MdGUAPA', 'Nasti', 'Nicolás', 'ADΞ乙']",Diamond,3,"['Waylay', 'Jett', 'Clove', 'Tejo', 'Cypher']",253.95,2,0,1,13,7,,
3ece756e-0406-4a6d-bc00-33c3e1289224,Thu malagueño,Ascent,Competitive,Sova,Iniciador,18,19,25,12,"['chiki baahhh', 'KOLDY x CHIKI', '西班牙境外的摩尔人', 'InstalockReyna']",Diamond,3,"['Cypher', 'Jett', 'Clove', 'Sova', 'Reyna']",203.767,2,2,1,15,15,,
9b9dbede-46d2-42ae-8067-0db1eeb719b6,Thu malagueño,Breeze,Competitive,Sova,Iniciador,16,8,18,13,"['who', 'GDWSWEDRGWSGWGW', 'alexfdez', 'イエス']",Diamond,3,"['Chamber', 'Jett', 'Viper', 'Sova', 'Neon']",184.308,2,1,0,12,14,,
ac04103b-cf07-4d83-93f7-e0bae38e60d6,Thu malagueño,Pearl,Competitive,Chamber,Centinela,13,5,18,5,"['wZeroTwo', 'Hide in Malaga', 'pedroosp', 'Netanyahu Ben']",Diamond,3,"['Clove', 'Chamber', 'Tejo', 'Jett', 'Killjoy']",172.409,2,0,0,9,13,,
90203048-f38a-400f-807d-cd01d67ce38b,Thu malagueño,Haven,Competitive,Sova,Iniciador,10,2,14,5,"['睡觉大王', 'guillermogoor', 'Pumaton', 'Netanyahu Ben']",Diamond,3,"['Cypher', 'Jett', 'Miks', 'Sova', 'Phoenix']",201.533,2,0,0,2,13,,
aa6b32a2-d34f-4db2-bf81-e8b52d790155,Thu malagueño,Breeze,Competitive,Sova,Iniciador,9,6,11,5,"['clipetbyandreita', 'syrex', 'zzzfrenny', 'ikersito']",Diamond,3,"['Jett', 'Chamber', 'Omen', 'KAY/O', 'Sova']",133.211,0,0,1,13,6,1781440959.0,"Sunday, June 14, 2026 12:42 PM"
4db2fb03-0734-457d-8952-70cbc6bb3628,Thu malagueño,Haven,Competitive,Miks,Controlador,14,4,14,8,"['DefNotLuca', 'mata patos', 'zRubix', 'hisoka']",Diamond,3,"['Jett', 'Miks', 'Chamber', 'KAY/O', 'Reyna']",227.667,1,2,0,5,13,1781439087.0,"Sunday, June 14, 2026 12:11 PM"
efe5d470-c22f-4961-86d5-8cca570c47d1,Thu malagueño,Split,Competitive,Chamber,Centinela,16,7,18,10,"['BEU', 'Kuromii', 'Zagred', 'arkxenet']",Diamond,3,"['Jett', 'Sage', 'Omen', 'Chamber', 'Skye']",193.417,4,2,0,11,13,1781471715.0,"Sunday, June 14, 2026 09:15 PM"
a1e5c228-1d29-4d9f-9315-6d67230da22c,Thu malagueño,Fracture,Competitive,Breach,Iniciador,18,5,15,11,"['Neo', 'Ratona', 'StyleXz', 'NGTzin o Pinas']",Diamond,3,"['Breach', 'Brimstone', 'Killjoy', 'Chamber', 'Neon']",247.727,2,0,0,9,13,1781469415.0,"Sunday, June 14, 2026 08:36 PM"
a32b83a1-3c8a-43a0-a8e3-88f88cf660a6,Thu malagueño,Breeze,Competitive,Veto,Centinela,22,7,18,19,"['chiki baahhh', 'Koldyfishy iwnl', 'Stretweed', 'Netanyahu Ben']",Diamond,3,"['Viper', 'Raze', 'Veto', 'Skye', 'Jett']",313.391,3,0,1,13,10,1781564234.0,"Monday, June 15, 2026 10:57 PM"
135ea325-f88e-44a2-bfd5-52d90cff3dac,Thu malagueño,Haven,Competitive,Sova,Iniciador,21,10,17,14,"['chiki baahhh', 'Koldyfishy iwnl', 'Stretweed', 'Netanyahu Ben']",Diamond,3,"['Cypher', 'Astra', 'Sova', 'Skye', 'Phoenix']",297.739,2,5,2,13,10,1781561879.0,"Monday, June 15, 2026 10:17 PM"
853d1892-e78a-45ff-809a-f7c2a5073bcc,Thu malagueño,Lotus,Competitive,Iso,Duelista,17,8,20,13,"['MIBR sacy', 'Sad 純', 'chiki baahhh', 'Koldyfishy iwnl']",Diamond,3,"['Iso', 'Chamber', 'Jett', 'Fade', 'Astra']",224.792,6,5,0,11,13,1781559352.0,"Monday, June 15, 2026 09:35 PM"
e1c8d1ea-9056-4f37-8642-c48005f89d6a,Thu malagueño,Haven,Competitive,Phoenix,Duelista,18,2,18,17,"['chiki baahhh', 'gaara愛', 'mainchepa', 'Koldyfishy iwnl']",Diamond,3,"['Sova', 'Clove', 'Chamber', 'Jett', 'Phoenix']",258.65,3,1,0,7,13,1781557364.0,"Monday, June 15, 2026 09:02 PM"
6daec91e-e4b1-488c-b15b-ec542f274dc4,Thu malagueño,Fracture,Competitive,Tejo,Iniciador,21,7,17,15,"['danniixz', 'I love blondes', 'ivaannn8', 'Anatoliy Trubin']",Diamond,3,"['Jett', 'Miks', 'Chamber', 'Tejo', 'Omen']",273.417,3,2,1,13,11,1781552251.0,"Monday, June 15, 2026 07:37 PM"
a43296e5-dc21-4dcf-b9dd-a887326b81dd,Thu malagueño,Fracture,Competitive,Chamber,Centinela,17,3,15,12,"['ELMATADESASTRE', 'Surya', 'adri mileurista', 'TT MÎKΣŁẪΠGΣŁO']",Diamond,3,"['Chamber', 'Sage', 'Reyna', 'Jett', 'Brimstone']",230.15,4,1,1,13,7,1781643443.0,"Tuesday, June 16, 2026 08:57 PM"
