id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas
7b0bce8c-f751-4edc-9928-6ac661fdcab4,papa pito,Fracture,Unrated,Astra,Controlador,9,3,7,1,"['rondax', 'NOSTA2', 'angelutrix', 'mamipito']",Unrated,,"['Reyna', 'Chamber', 'Cypher', 'Astra', 'Skye']",155.500,0,0,0,3,8
d034107a-37cd-4789-9a6e-69b9496e0e3d,papa pito,Split,Competitive,Tejo,Iniciador,11,5,16,4,"['Axyela2508', 'Aaronnn17', 'mamipito', 'titanacorazado14']",Silver,2,"['Sage', 'Tejo', 'Raze', 'Killjoy', 'Omen']",225.412,3,3,0,4,13
cdef18e7-590b-44d4-8a9b-f9b472b8ac62,papa pito,Breeze,Premier,Skye,Iniciador,16,8,18,5,"['Axyela2508', 'Aaronnn17', 'angelutrix', 'Chiste sad002']",Unrated,,"['Miks', 'Skye', 'Chamber', 'Viper', 'Neon']",239.429,1,3,0,8,13
bef27d95-b659-4002-902f-71dd6c0a9671,papa pito,Breeze,Premier,Chamber,Centinela,13,4,14,2,"['Axyela2508', 'Aaronnn17', 'Chiste sad002', 'angelutrix']",Unrated,,"['Sage', 'Sova', 'Chamber', 'Neon', 'Viper']",210.056,3,1,0,5,13
c07f2ea1-1aba-4ce6-88c5-8978ab4d2708,papa pito,Abyss,Unrated,Skye,Iniciador,9,3,19,6,"['angelutrix', 'christovell', 'mamipito', 'rondax']",Unrated,,"['Chamber', 'Sage', 'Skye', 'Omen', 'Reyna']",141.350,3,5,0,7,13
7b0bce8c-f751-4edc-9928-6ac661fdcab4,papa pito,Fracture,Unrated,Astra,Controlador,9,3,7,1,"['rondax', 'NOSTA2', 'angelutrix', 'mamipito']",Unrated,,"['Reyna', 'Chamber', 'Cypher', 'Astra', 'Skye']",155.500,0,0,0,3,8
d034107a-37cd-4789-9a6e-69b9496e0e3d,papa pito,Split,Competitive,Tejo,Iniciador,11,5,16,4,"['Axyela2508', 'Aaronnn17', 'mamipito', 'titanacorazado14']",Silver,2,"['Sage', 'Tejo', 'Raze', 'Killjoy', 'Omen']",225.412,3,3,0,4,13
cdef18e7-590b-44d4-8a9b-f9b472b8ac62,papa pito,Breeze,Premier,Skye,Iniciador,16,8,18,5,"['Axyela2508', 'Aaronnn17', 'angelutrix', 'Chiste sad002']",Unrated,,"['Miks', 'Skye', 'Chamber', 'Viper', 'Neon']",239.429,1,3,0,8,13
bef27d95-b659-4002-902f-71dd6c0a9671,papa pito,Breeze,Premier,Chamber,Centinela,13,4,14,2,"['Axyela2508', 'Aaronnn17', 'Chiste sad002', 'angelutrix']",Unrated,,"['Sage', 'Sova', 'Chamber', 'Neon', 'Viper']",210.056,3,1,0,5,13
c07f2ea1-1aba-4ce6-88c5-8978ab4d2708,papa pito,Abyss,Unrated,Skye,Iniciador,9,3,19,6,"['angelutrix', 'christovell', 'mamipito', 'rondax']",Unrated,,"['Chamber', 'Sage', 'Skye', 'Omen', 'Reyna']",141.350,3,5,0,7,13
7b0bce8c-f751-4edc-9928-6ac661fdcab4,papa pito,Fracture,Unrated,Astra,Controlador,9,3,7,1,"['rondax', 'NOSTA2', 'angelutrix', 'mamipito']",Unrated,,"['Reyna', 'Chamber', 'Cypher', 'Astra', 'Skye']",155.500,0,0,0,3,8
d034107a-37cd-4789-9a6e-69b9496e0e3d,papa pito,Split,Competitive,Tejo,Iniciador,11,5,16,4,"['Axyela2508', 'Aaronnn17', 'mamipito', 'titanacorazado14']",Silver,2,"['Sage', 'Tejo', 'Raze', 'Killjoy', 'Omen']",225.412,3,3,0,4,13
cdef18e7-590b-44d4-8a9b-f9b472b8ac62,papa pito,Breeze,Premier,Skye,Iniciador,16,8,18,5,"['Axyela2508', 'Aaronnn17', 'angelutrix', 'Chiste sad002']",Unrated,,"['Miks', 'Skye', 'Chamber', 'Viper', 'Neon']",239.429,1,3,0,8,13
bef27d95-b659-4002-902f-71dd6c0a9671,papa pito,Breeze,Premier,Chamber,Centinela,13,4,14,2,"['Axyela2508', 'Aaronnn17', 'Chiste sad002', 'angelutrix']",Unrated,,"['Sage', 'Sova', 'Chamber', 'Neon', 'Viper']",210.056,3,1,0,5,13
c07f2ea1-1aba-4ce6-88c5-8978ab4d2708,papa pito,Abyss,Unrated,Skye,Iniciador,9,3,19,6,"['angelutrix', 'christovell', 'mamipito', 'rondax']",Unrated,,"['Chamber', 'Sage', 'Skye', 'Omen', 'Reyna']",141.350,3,5,0,7,13
7b0bce8c-f751-4edc-9928-6ac661fdcab4,papa pito,Fracture,Unrated,Astra,Controlador,9,3,7,1,"['rondax', 'NOSTA2', 'angelutrix', 'mamipito']",Unrated,,"['Reyna', 'Chamber', 'Cypher', 'Astra', 'Skye']",155.500,0,0,0,3,8
d034107a-37cd-4789-9a6e-69b9496e0e3d,papa pito,Split,Competitive,Tejo,Iniciador,11,5,16,4,"['Axyela2508', 'Aaronnn17', 'mamipito', 'titanacorazado14']",Silver,2,"['Sage', 'Tejo', 'Raze', 'Killjoy', 'Omen']",225.412,3,3,0,4,13
cdef18e7-590b-44d4-8a9b-f9b472b8ac62,papa pito,Breeze,Premier,Skye,Iniciador,16,8,18,5,"['Axyela2508', 'Aaronnn17', 'angelutrix', 'Chiste sad002']",Unrated,,"['Miks', 'Skye', 'Chamber', 'Viper', 'Neon']",239.429,1,3,0,8,13
bef27d95-b659-4002-902f-71dd6c0a9671,papa pito,Breeze,Premier,Chamber,Centinela,13,4,14,2,"['Axyela2508', 'Aaronnn17', 'Chiste sad002', 'angelutrix']",Unrated,,"['Sage', 'Sova', 'Chamber', 'Neon', 'Viper']",210.056,3,1,0,5,13
c07f2ea1-1aba-4ce6-88c5-8978ab4d2708,papa pito,Abyss,Unrated,Skye,Iniciador,9,3,19,6,"['angelutrix', 'christovell', 'mamipito', 'rondax']",Unrated,,"['Chamber', 'Sage', 'Skye', 'Omen', 'Reyna']",141.350,3,5,0,7,13
7b0bce8c-f751-4edc-9928-6ac661fdcab4,papa pito,Fracture,Unrated,Astra,Controlador,9,3,7,1,"['rondax', 'NOSTA2', 'angelutrix', 'mamipito']",Unrated,,"['Reyna', 'Chamber', 'Cypher', 'Astra', 'Skye']",155.500,0,0,0,3,8
d034107a-37cd-4789-9a6e-69b9496e0e3d,papa pito,Split,Competitive,Tejo,Iniciador,11,5,16,4,"['Axyela2508', 'Aaronnn17', 'mamipito', 'titanacorazado14']",Silver,2,"['Sage', 'Tejo', 'Raze', 'Killjoy', 'Omen']",225.412,3,3,0,4,13
cdef18e7-590b-44d4-8a9b-f9b472b8ac62,papa pito,Breeze,Premier,Skye,Iniciador,16,8,18,5,"['Axyela2508', 'Aaronnn17', 'angelutrix', 'Chiste sad002']",Unrated,,"['Miks', 'Skye', 'Chamber', 'Viper', 'Neon']",239.429,1,3,0,8,13
bef27d95-b659-4002-902f-71dd6c0a9671,papa pito,Breeze,Premier,Chamber,Centinela,13,4,14,2,"['Axyela2508', 'Aaronnn17', 'Chiste sad002', 'angelutrix']",Unrated,,"['Sage', 'Sova', 'Chamber', 'Neon', 'Viper']",210.056,3,1,0,5,13
c07f2ea1-1aba-4ce6-88c5-8978ab4d2708,papa pito,Abyss,Unrated,Skye,Iniciador,9,3,19,6,"['angelutrix', 'christovell', 'mamipito', 'rondax']",Unrated,,"['Chamber', 'Sage', 'Skye', 'Omen', 'Reyna']",141.350,3,5,0,7,13
7b0bce8c-f751-4edc-9928-6ac661fdcab4,papa pito,Fracture,Unrated,Astra,Controlador,9,3,7,1,"['rondax', 'NOSTA2', 'angelutrix', 'mamipito']",Unrated,,"['Reyna', 'Chamber', 'Cypher', 'Astra', 'Skye']",155.500,0,0,0,3,8
d034107a-37cd-4789-9a6e-69b9496e0e3d,papa pito,Split,Competitive,Tejo,Iniciador,11,5,16,4,"['Axyela2508', 'Aaronnn17', 'mamipito', 'titanacorazado14']",Silver,2,"['Sage', 'Tejo', 'Raze', 'Killjoy', 'Omen']",225.412,3,3,0,4,13
cdef18e7-590b-44d4-8a9b-f9b472b8ac62,papa pito,Breeze,Premier,Skye,Iniciador,16,8,18,5,"['Axyela2508', 'Aaronnn17', 'angelutrix', 'Chiste sad002']",Unrated,,"['Miks', 'Skye', 'Chamber', 'Viper', 'Neon']",239.429,1,3,0,8,13
bef27d95-b659-4002-902f-71dd6c0a9671,papa pito,Breeze,Premier,Chamber,Centinela,13,4,14,2,"['Axyela2508', 'Aaronnn17', 'Chiste sad002', 'angelutrix']",Unrated,,"['Sage', 'Sova', 'Chamber', 'Neon', 'Viper']",210.056,3,1,0,5,13
c07f2ea1-1aba-4ce6-88c5-8978ab4d2708,papa pito,Abyss,Unrated,Skye,Iniciador,9,3,19,6,"['angelutrix', 'christovell', 'mamipito', 'rondax']",Unrated,,"['Chamber', 'Sage', 'Skye', 'Omen', 'Reyna']",141.350,3,5,0,7,13
7b0bce8c-f751-4edc-9928-6ac661fdcab4,papa pito,Fracture,Unrated,Astra,Controlador,9,3,7,1,"['rondax', 'NOSTA2', 'angelutrix', 'mamipito']",Unrated,,"['Reyna', 'Chamber', 'Cypher', 'Astra', 'Skye']",155.500,0,0,0,3,8
d034107a-37cd-4789-9a6e-69b9496e0e3d,papa pito,Split,Competitive,Tejo,Iniciador,11,5,16,4,"['Axyela2508', 'Aaronnn17', 'mamipito', 'titanacorazado14']",Silver,2,"['Sage', 'Tejo', 'Raze', 'Killjoy', 'Omen']",225.412,3,3,0,4,13
cdef18e7-590b-44d4-8a9b-f9b472b8ac62,papa pito,Breeze,Premier,Skye,Iniciador,16,8,18,5,"['Axyela2508', 'Aaronnn17', 'angelutrix', 'Chiste sad002']",Unrated,,"['Miks', 'Skye', 'Chamber', 'Viper', 'Neon']",239.429,1,3,0,8,13
bef27d95-b659-4002-902f-71dd6c0a9671,papa pito,Breeze,Premier,Chamber,Centinela,13,4,14,2,"['Axyela2508', 'Aaronnn17', 'Chiste sad002', 'angelutrix']",Unrated,,"['Sage', 'Sova', 'Chamber', 'Neon', 'Viper']",210.056,3,1,0,5,13
c07f2ea1-1aba-4ce6-88c5-8978ab4d2708,papa pito,Abyss,Unrated,Skye,Iniciador,9,3,19,6,"['angelutrix', 'christovell', 'mamipito', 'rondax']",Unrated,,"['Chamber', 'Sage', 'Skye', 'Omen', 'Reyna']",141.350,3,5,0,7,13
7b0bce8c-f751-4edc-9928-6ac661fdcab4,papa pito,Fracture,Unrated,Astra,Controlador,9,3,7,1,"['rondax', 'NOSTA2', 'angelutrix', 'mamipito']",Unrated,,"['Reyna', 'Chamber', 'Cypher', 'Astra', 'Skye']",155.500,0,0,0,3,8
d034107a-37cd-4789-9a6e-69b9496e0e3d,papa pito,Split,Competitive,Tejo,Iniciador,11,5,16,4,"['Axyela2508', 'Aaronnn17', 'mamipito', 'titanacorazado14']",Silver,2,"['Sage', 'Tejo', 'Raze', 'Killjoy', 'Omen']",225.412,3,3,0,4,13
cdef18e7-590b-44d4-8a9b-f9b472b8ac62,papa pito,Breeze,Premier,Skye,Iniciador,16,8,18,5,"['Axyela2508', 'Aaronnn17', 'angelutrix', 'Chiste sad002']",Unrated,,"['Miks', 'Skye', 'Chamber', 'Viper', 'Neon']",239.429,1,3,0,8,13
bef27d95-b659-4002-902f-71dd6c0a9671,papa pito,Breeze,Premier,Chamber,Centinela,13,4,14,2,"['Axyela2508', 'Aaronnn17', 'Chiste sad002', 'angelutrix']",Unrated,,"['Sage', 'Sova', 'Chamber', 'Neon', 'Viper']",210.056,3,1,0,5,13
c07f2ea1-1aba-4ce6-88c5-8978ab4d2708,papa pito,Abyss,Unrated,Skye,Iniciador,9,3,19,6,"['angelutrix', 'christovell', 'mamipito', 'rondax']",Unrated,,"['Chamber', 'Sage', 'Skye', 'Omen', 'Reyna']",141.350,3,5,0,7,13
7b0bce8c-f751-4edc-9928-6ac661fdcab4,papa pito,Fracture,Unrated,Astra,Controlador,9,3,7,1,"['rondax', 'NOSTA2', 'angelutrix', 'mamipito']",Unrated,,"['Reyna', 'Chamber', 'Cypher', 'Astra', 'Skye']",155.500,0,0,0,3,8
d034107a-37cd-4789-9a6e-69b9496e0e3d,papa pito,Split,Competitive,Tejo,Iniciador,11,5,16,4,"['Axyela2508', 'Aaronnn17', 'mamipito', 'titanacorazado14']",Silver,2,"['Sage', 'Tejo', 'Raze', 'Killjoy', 'Omen']",225.412,3,3,0,4,13
cdef18e7-590b-44d4-8a9b-f9b472b8ac62,papa pito,Breeze,Premier,Skye,Iniciador,16,8,18,5,"['Axyela2508', 'Aaronnn17', 'angelutrix', 'Chiste sad002']",Unrated,,"['Miks', 'Skye', 'Chamber', 'Viper', 'Neon']",239.429,1,3,0,8,13
bef27d95-b659-4002-902f-71dd6c0a9671,papa pito,Breeze,Premier,Chamber,Centinela,13,4,14,2,"['Axyela2508', 'Aaronnn17', 'Chiste sad002', 'angelutrix']",Unrated,,"['Sage', 'Sova', 'Chamber', 'Neon', 'Viper']",210.056,3,1,0,5,13
c07f2ea1-1aba-4ce6-88c5-8978ab4d2708,papa pito,Abyss,Unrated,Skye,Iniciador,9,3,19,6,"['angelutrix', 'christovell', 'mamipito', 'rondax']",Unrated,,"['Chamber', 'Sage', 'Skye', 'Omen', 'Reyna']",141.350,3,5,0,7,13
7b0bce8c-f751-4edc-9928-6ac661fdcab4,papa pito,Fracture,Unrated,Astra,Controlador,9,3,7,1,"['rondax', 'NOSTA2', 'angelutrix', 'mamipito']",Unrated,,"['Reyna', 'Chamber', 'Cypher', 'Astra', 'Skye']",155.500,0,0,0,3,8
d034107a-37cd-4789-9a6e-69b9496e0e3d,papa pito,Split,Competitive,Tejo,Iniciador,11,5,16,4,"['Axyela2508', 'Aaronnn17', 'mamipito', 'titanacorazado14']",Silver,2,"['Sage', 'Tejo', 'Raze', 'Killjoy', 'Omen']",225.412,3,3,0,4,13
cdef18e7-590b-44d4-8a9b-f9b472b8ac62,papa pito,Breeze,Premier,Skye,Iniciador,16,8,18,5,"['Axyela2508', 'Aaronnn17', 'angelutrix', 'Chiste sad002']",Unrated,,"['Miks', 'Skye', 'Chamber', 'Viper', 'Neon']",239.429,1,3,0,8,13
